  Date_obs   Time_obs   Obs_type   Fea_type    NOAA   id    X_arc    Y_arc    r_arc theta_deg    b_deg    l_deg  lcm_deg  A_deg2   A_MSH          A_km2        P_Total         P_Mean          P_Min          P_Max          P_Std
2013-07-04   16:08:10  continuum      umbra   11778    1   912.05   -293.3   958.05    -17.83    -9999    -9999    -9999  203.87  9883.8 30057156189.16      908987.48       69922.11       66773.91       72213.72        1338.94
2013-07-04   16:08:10  continuum      umbra   11778    2   912.05  -293.29   958.05    -17.83    -9999    -9999    -9999  203.86 9883.34 30055756486.04      652216.93       65221.69        62312.1       67403.33        1724.86
2013-07-04   16:08:10  continuum      umbra   11778    3   912.06  -293.29   958.06    -17.83    -9999    -9999    -9999  203.85 9882.77 30054011583.74      488794.36       69827.77       67959.65       71438.95         979.93
2013-07-04   16:08:10  continuum      umbra   11778    4   912.07  -293.29   958.06    -17.83    -9999    -9999    -9999  203.83 9882.13 30052061452.37      213808.55       71269.52       70144.43        71954.3         801.79
2013-07-04   16:08:10  continuum      umbra   11778    5   912.06  -293.29   958.06    -17.83    -9999    -9999    -9999  203.84 9882.52 30053246285.55      325509.29       65101.86       63759.75       67925.75        1490.68
2013-07-04   16:08:10  continuum      umbra   11778    6      912  -293.31   958.01    -17.83    -9999    -9999    -9999  203.96 9888.36 30071007563.66     2407739.99       63361.58          58790       66778.38        1878.28
2013-07-04   16:08:10  continuum   penumbra   11778    1   912.05   -293.3   958.05    -17.83    -9999    -9999    -9999  203.87  9883.8 30057156189.16      908987.48       69922.11       66773.91       72213.72        1338.94
2013-07-04   16:08:10  continuum   penumbra   11778    2   912.05  -293.29   958.05    -17.83    -9999    -9999    -9999  203.86 9883.34 30055756486.04      652216.93       65221.69        62312.1       67403.33        1724.86
2013-07-04   16:08:10  continuum   penumbra   11778    3   912.06  -293.29   958.06    -17.83    -9999    -9999    -9999  203.85 9882.77 30054011583.74      488794.36       69827.77       67959.65       71438.95         979.93
2013-07-04   16:08:10  continuum   penumbra   11778    4   912.07  -293.29   958.06    -17.83    -9999    -9999    -9999  203.83 9882.13 30052061452.37      213808.55       71269.52       70144.43        71954.3         801.79
2013-07-04   16:08:10  continuum   penumbra   11778    5   912.06  -293.29   958.06    -17.83    -9999    -9999    -9999  203.84 9882.52 30053246285.55      325509.29       65101.86       63759.75       67925.75        1490.68
2013-07-04   16:08:10  continuum   penumbra   11778    6      912  -293.31   958.01    -17.83    -9999    -9999    -9999  203.96 9888.36 30071007563.66     2407739.99       63361.58          58790       66778.38        1878.28
2013-07-04   16:08:10  continuum      umbra   11782    1    439.7  -320.72   544.24    -36.11   -16.94    78.71    29.02    0.29   14.08     42819774.8      180896.21       60298.74       59796.95       60689.53         372.75
2013-07-04   16:08:10  continuum      umbra   11782    2   506.43   -320.6   599.38    -32.34   -17.08     83.7       34    0.62   29.95    91092515.13      427177.91       61025.42       60097.27       62367.86         747.88
2013-07-04   16:08:10  continuum      umbra   11782    3   470.63  -319.12   568.62    -34.14    -16.9    80.97    31.28       0    0.12      365538.92      124060.38       62030.19       61982.59       62077.79           47.6
2013-07-04   16:08:10  continuum      umbra   11782    4   471.89  -318.11    569.1    -33.99   -16.84    81.05    31.36    0.01    0.36     1096791.82      363084.59        60514.1       58424.87       62310.28         1408.7
2013-07-04   16:08:10  continuum      umbra   11782    5   509.79  -317.39   600.52    -31.91   -16.89    83.91    34.22    0.02    0.93     2840605.62      910653.23       60710.22       57115.94       62826.33        1780.26
